id,pred
1,A
2,A
3,A
4,A
5,A
6,A
7,A
8,B
9,A
10,A
12,B
13,B
14,A
15,A
16,B
18,A
19,B
20,B
21,B
22,A
23,A
24,A
25,A
26,B
27,A
28,B
29,B
30,B
31,A
32,A
33,B
35,A
36,A
37,A
38,A
39,B
40,A
41,B
43,A
47,A
48,A
49,A
50,B
51,B
52,B
54,B
55,B
56,A
57,B
58,B
59,A
60,B
61,B
62,A
63,A
64,B
65,A
66,A
67,A
68,B
69,A
70,A
71,B
72,B
73,A
74,B
75,B
76,B
77,B
78,B
79,B
80,A
81,A
82,B
83,A
85,B
87,B
88,A
90,A
91,B
92,A
93,A
94,B
95,B
96,A
97,B
98,B
99,A
100,B
